[0708/123806:ERROR:dns_config_service_win.cc(750)] DNS config watch failed.
[0808/215010:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0809/025441:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0809/050711:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/003626:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/003928:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/003933:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/003938:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/003943:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/003948:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/003953:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/003958:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/004003:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/004008:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/004013:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/004018:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/004023:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/004028:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/004033:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/004038:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/004932:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/004937:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/004942:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/004947:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/004952:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/004957:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/005002:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/005007:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/005012:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/005017:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/005022:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/005027:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/005032:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/005037:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/005042:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/005047:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/005052:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/005057:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/005102:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/005107:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/005112:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/005117:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/005122:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/005127:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/005132:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/005137:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/005142:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/005143:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/005143:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/005143:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/005430:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/104737:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/141230:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/230418:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/232010:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/232015:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/232020:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/232025:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/232030:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/232035:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0812/232040:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
